RDMA MTP: Optimizing for 256 threads
[server rdma_send] t=1005798549 ns reqId=6000004 size=204808B client_node_id=6
[server rdma_send] t=1005805858 ns reqId=8000004 size=204808B client_node_id=8
[server rdma_send] t=1005813215 ns reqId=10000004 size=204808B client_node_id=10
[server rdma_send] t=1005820572 ns reqId=7000004 size=204808B client_node_id=7
[server rdma_send] t=1005820666 ns reqId=9000004 size=204808B client_node_id=9
[server rdma_send] t=1005828000 ns reqId=11000004 size=204808B client_node_id=11
[client rdma_recv] t=1006457206 ns reqId=1000004 size=204808B client_node_id=1
[client req_send] t=1006459706 ns reqId=1000005 size=17B client_node_id=1
[server req_recv] t=1006461914 ns reqId=1000005 size=17B client_node_id=1
[client rdma_recv] t=1007049016 ns reqId=2000004 size=204808B client_node_id=2
[client req_send] t=1007051516 ns reqId=2000005 size=17B client_node_id=2
[server req_recv] t=1007053724 ns reqId=2000005 size=17B client_node_id=2
[client rdma_recv] t=1007054500 ns reqId=5000004 size=204808B client_node_id=5
[client req_send] t=1007057000 ns reqId=5000005 size=17B client_node_id=5
[server req_recv] t=1007059208 ns reqId=5000005 size=17B client_node_id=5
[client rdma_recv] t=1007059984 ns reqId=3000004 size=204808B client_node_id=3
[client req_send] t=1007062484 ns reqId=3000005 size=17B client_node_id=3
[server req_recv] t=1007064692 ns reqId=3000005 size=17B client_node_id=3
[client rdma_recv] t=1007254800 ns reqId=6000004 size=204808B client_node_id=6
[client req_send] t=1007257300 ns reqId=6000005 size=17B client_node_id=6
[client rdma_recv] t=1007260284 ns reqId=8000004 size=204808B client_node_id=8
[server req_recv] t=1007260612 ns reqId=6000005 size=17B client_node_id=6
[client req_send] t=1007262784 ns reqId=8000005 size=17B client_node_id=8
[client rdma_recv] t=1007265768 ns reqId=10000004 size=204808B client_node_id=10
[server req_recv] t=1007266096 ns reqId=8000005 size=17B client_node_id=8
[client req_send] t=1007268268 ns reqId=10000005 size=17B client_node_id=10
[client rdma_recv] t=1007271252 ns reqId=7000004 size=204808B client_node_id=7
[server req_recv] t=1007271580 ns reqId=10000005 size=17B client_node_id=10
[client req_send] t=1007273752 ns reqId=7000005 size=17B client_node_id=7
[client rdma_recv] t=1007276736 ns reqId=9000004 size=204808B client_node_id=9
[server req_recv] t=1007277064 ns reqId=7000005 size=17B client_node_id=7
[client req_send] t=1007279236 ns reqId=9000005 size=17B client_node_id=9
[client rdma_recv] t=1007282220 ns reqId=11000004 size=204808B client_node_id=11
